Maker Wise Vehicle Category Data  For All State ( Till Today ),,,,,,,,,,,,,,,,,,,
S No,                      Maker                       ,Vehicle Category ,,,,,,,,,,,,,,,,,     TOTAL     
,,,,,,,,,,,,,,,,,,,
,,2WIC,2WN,2WT,3WIC,3WN,3WT,4WIC,HGV,HMV,HPV,LGV,LMV,LPV,MGV,MMV,MPV,OTH,
1,3EV INDUSTRIES PVT LTD,0,14,0,0,0,"1,640",0,12,6,0,13,116,1,6,7,0,13,"1,828"
2,3GB TECHNOLOGY PVT LTD,0,28,0,0,0,77,0,49,16,8,513,65,9,16,31,0,21,833
3,3S INDUSTRIES PRIVATE LIMITED,0,28,0,0,1,"2,721",0,10,22,0,231,68,4,2,10,0,18,"3,115"
4,786 ENGINEERING WORKS AP105382023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5,A1 HEAVY EQUIPMENTS DEVELOPER,0,14,0,0,0,6,0,21,53,5,62,86,3,2,24,2,180,458
6,A-1 SUREJA INDUSTRIES,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,13
7,A3T INCORPORTED,0,16,0,0,0,293,0,40,11,0,443,60,6,7,7,1,24,908
8,AADESH INDUSTRIES,0,0,0,0,0,1,0,1,0,0,11,0,0,0,0,0,0,13
9,AADHYA ENTERPRISES,0,115,0,0,0,"2,117",0,15,15,1,439,124,7,8,8,0,9,"2,858"
10,AADITYA EMOTORS INDIA PVT LTD,0,31,0,0,0,680,0,22,2,1,206,41,7,10,7,0,5,"1,012"
11,AADITYA GARBAGE PRODUCTS PVT LTD,0,3,2,0,0,68,0,1,0,0,7,1,0,1,0,1,0,84
12,AADYA MOTOR CAR COMPANY PVT LTD,0,0,0,0,0,0,0,2,0,0,0,2,3,0,0,0,0,7
13,AAHANA COMMERCE PVT LTD,0,0,0,0,0,"7,735",0,0,0,0,0,1,0,0,0,0,0,"7,736"
14,AAI TRAILOR,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
15,AAKAR TRAILERS,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,28
16,AAKK AUTO PVT LTD,0,1,0,0,0,136,0,0,0,0,0,1,1,0,0,0,0,139
17,AALAL ENGG,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,4
18,A AND Z MOTOR CO P LTD,0,73,0,0,0,28,0,27,0,4,51,83,19,10,0,1,22,318
19,AARGEE ELECTRIC,0,3,0,0,5,47,0,1,0,0,1,1,0,0,0,0,0,58
20,AARON INDUSTRIES,0,2,0,0,0,41,0,0,0,0,76,17,0,0,1,0,1,138
21,AARTI AGRO INDUSTRIES,0,8,0,0,0,1,0,0,0,0,134,8,0,0,1,0,0,152
22,AARYA AUTOMOBILES,0,14,0,0,0,2,0,1,1,0,2,11,1,0,1,0,0,33
23,AARYA AUTOMOBILES LTD,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,4
24,AARYAMAN  AUTO KARNAL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
25,AARYAN ENGG,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6
26,AASHI INDIA AUTOMOBILES PVT LTD,0,13,0,0,0,85,0,22,0,1,58,18,4,2,3,1,1,208
27,AASHRITHA AUTOMOBILES,0,0,0,0,0,0,0,0,0,0,115,3,0,0,0,0,0,118
28,A. A. TRAILOR,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
29,A.B. AGRO ENGINEERING WORKS,0,0,0,0,0,0,0,0,0,0,19,8,0,0,0,0,0,27
30,A.B. AGRO ENGINEERING WORKS&ENTERPRISESAP11815428,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,8
31,A B EXCAVATORS & EARTHMOVER LTD,0,4,0,0,1,3,0,10,3,0,28,17,1,6,35,0,17,125
32,A B EXCAVATORS & EARTHMOVERS PVT LTD,0,0,0,0,0,1,0,1,9,0,9,1,0,2,12,0,39,74
